"rid","abbr","iid","val","val_norm"
245,"IT",5,93,NULL
246,"IT",6,18,NULL
247,"IT",7,9,NULL
248,"IT",8,12,NULL
249,"IT",9,23,NULL
250,"IT",10,15,NULL
256,"IT",16,35.61,NULL
257,"IT",17,5.44,NULL
258,"IT",18,24.01,NULL
259,"IT",19,42.57,NULL
260,"IT",20,10.94,NULL
261,"CY",1,6,NULL
262,"CY",2,34,NULL
263,"CY",3,42,NULL
264,"CY",4,25,NULL
265,"CY",5,83,NULL
266,"CY",6,18,NULL
267,"CY",7,5,NULL
268,"CY",8,24,NULL
269,"CY",9,32,NULL
270,"CY",10,25,NULL
276,"CY",16,30.18,NULL
277,"CY",17,4.23,NULL
278,"CY",18,38.19,NULL
279,"CY",19,54.63,NULL
280,"CY",20,3.4,NULL
281,"LV",1,8,NULL
282,"LV",2,21,NULL
283,"LV",3,25,NULL
284,"LV",4,13,NULL
285,"LV",5,98,NULL
286,"LV",6,16,NULL
287,"LV",7,8,NULL
288,"LV",8,19,NULL
289,"LV",9,23,NULL
290,"LV",10,16,NULL
296,"LV",16,45.45,NULL
297,"LV",17,11.08,NULL
298,"LV",18,65.79,NULL
299,"LV",19,19.56,NULL
300,"LV",20,10,NULL
301,"LT",1,10,NULL
302,"LT",2,30,NULL
303,"LT",3,21,NULL
304,"LT",4,20,NULL
305,"LT",5,93,NULL
306,"LT",6,36,NULL
307,"LT",7,18,NULL
308,"LT",8,14,NULL
309,"LT",9,51,NULL
310,"LT",10,12,NULL
316,"LT",16,36.55,NULL
317,"LT",17,7.7,NULL
318,"LT",18,55.75,NULL
319,"LT",19,19.93,NULL
320,"LT",20,9.99,NULL
321,"LU",1,18,NULL
322,"LU",2,28,NULL
323,"LU",3,33,NULL
324,"LU",4,21,NULL
325,"LU",5,93,NULL
326,"LU",6,11,NULL
327,"LU",7,NULL,NULL
328,"LU",8,20,NULL
329,"LU",9,42,NULL
330,"LU",10,20,NULL
336,"LU",16,52.85,NULL
337,"LU",17,6.23,NULL
338,"LU",18,25.72,NULL
339,"LU",19,88.6,NULL
340,"LU",20,11.41,NULL
341,"HU",1,7,NULL
342,"HU",2,24,NULL
343,"HU",3,12,NULL
344,"HU",4,10,NULL
345,"HU",5,86,NULL
346,"HU",6,20,NULL
347,"HU",7,11,NULL
348,"HU",8,27,NULL
349,"HU",9,39,NULL
350,"HU",10,15,NULL
356,"HU",16,46.37,NULL
357,"HU",17,5.75,NULL
358,"HU",18,42.23,NULL
359,"HU",19,20.78,NULL
360,"HU",20,12.24,NULL
361,"MT",1,30,NULL
362,"MT",2,52,NULL
363,"MT",3,42,NULL
364,"MT",4,39,NULL
365,"MT",5,92,NULL
366,"MT",6,29,NULL
367,"MT",7,7,NULL
368,"MT",8,28,NULL
369,"MT",9,50,NULL
370,"MT",10,27,NULL
376,"MT",16,36.64,NULL
377,"MT",17,2.39,NULL
378,"MT",18,34.21,NULL
379,"MT",19,68.43,NULL
380,"MT",20,14.3,NULL
381,"NL",1,26,NULL
382,"NL",2,52,NULL
383,"NL",3,48,NULL
384,"NL",4,35,NULL
385,"NL",5,97,NULL
386,"NL",6,27,NULL
387,"NL",7,15,NULL
388,"NL",8,22,NULL
389,"NL",9,48,NULL
390,"NL",10,22,NULL
396,"NL",16,49.52,NULL
397,"NL",17,9.19,NULL
398,"NL",18,64.3,NULL
399,"NL",19,66.09,NULL
400,"NL",20,14.46,NULL
401,"AT",1,8,NULL
402,"AT",2,37,NULL
403,"AT",3,37,NULL
404,"AT",4,27,NULL
405,"AT",5,91,NULL
406,"AT",6,29,NULL
407,"AT",7,10,NULL
408,"AT",8,18,NULL
409,"AT",9,48,NULL
410,"AT",10,16,NULL
416,"AT",16,39.32,NULL
417,"AT",17,11.39,NULL
418,"AT",18,35.03,NULL
419,"AT",19,NULL,NULL
420,"AT",20,8.52,NULL
421,"PL",1,8,NULL
422,"PL",2,23,NULL
423,"PL",3,17,NULL
424,"PL",4,13,NULL
425,"PL",5,87,NULL
426,"PL",6,17,NULL
427,"PL",7,NULL,NULL
428,"PL",8,23,NULL
429,"PL",9,26,NULL
430,"PL",10,16,NULL
436,"PL",16,32.58,NULL
437,"PL",17,6.35,NULL
438,"PL",18,26.55,NULL
439,"PL",19,20.69,NULL
440,"PL",20,11.58,NULL
441,"PT",1,10,NULL
442,"PT",2,28,NULL
443,"PT",3,25,NULL
444,"PT",4,20,NULL
445,"PT",5,98,NULL
446,"PT",6,16,NULL
447,"PT",7,13,NULL
448,"PT",8,18,NULL
449,"PT",9,36,NULL
450,"PT",10,22,NULL
456,"PT",16,43.1,NULL
457,"PT",17,4.98,NULL
458,"PT",18,31.86,NULL
459,"PT",19,NULL,NULL
460,"PT",20,13.91,NULL
461,"RO",1,5,NULL
462,"RO",2,15,NULL
463,"RO",3,11,NULL
464,"RO",4,6,NULL
465,"RO",5,72,NULL
466,"RO",6,13,NULL
467,"RO",7,7,NULL
468,"RO",8,15,NULL
469,"RO",9,41,NULL
470,"RO",10,5,NULL
476,"RO",16,28.79,NULL
477,"RO",17,4.22,NULL
478,"RO",18,24.32,NULL
479,"RO",19,17.46,NULL
