"abbr","val"
"AT",50.80
"BE",57.00
"BG",37.67
"CY",34.37
"CZ",40.52
"DE",46.25
"DK",65.28
"EE",43.23
"EL",42.34
"ES",57.35
"EU27_2020",48.65
"FI",64.83
"FR",45.47
"HR",51.15
"HU",39.94
"IE",75.57
"IT",42.27
"LT",48.18
"LU",60.92
"LV",42.73
"MT",60.87
"NL",62.27
"PL",43.12
"PT",57.53
"RO",38.67
"SE",67.78
"SI",51.18
"SK",42.64
